accident_id,arc_id,arc_length,distance_to_nearest_vertex,fraction_from_nearest_intersection
0,"(788, 797)",6.551434118317687,2.6001881792428962,0.3968883960800001
1,"(163, 880)",48.13196387994077,9.949074507788321,0.20670410483571908
74,"(163, 880)",48.13196387994077,2.330222850196441,0.048413209484011364
153,"(163, 880)",48.13196387994077,0.9834578565477192,0.0204325312592861
160,"(163, 880)",48.13196387994077,4.562014533219316,0.09478139193735576
192,"(163, 880)",48.13196387994077,2.7535112353739217,0.05720753971814271
198,"(163, 880)",48.13196387994077,5.900235100422177,0.12258454932650542
234,"(163, 880)",48.13196387994077,1.8684845459477553,0.038820035488442955
304,"(163, 880)",48.13196387994077,5.883146247504572,0.12222950765481652
377,"(163, 880)",48.13196387994077,12.202227256964797,0.2535160893788116
445,"(163, 880)",48.13196387994077,20.270000579097623,0.42113387747191516
451,"(163, 880)",48.13196387994077,17.593559444717783,0.36552756269415354
2,"(347, 348)",15.590346590509068,0.799624884139552,0.051289743912835105
197,"(347, 348)",15.590346590509068,1.9246331670600794,0.12345031304382534
3,"(454, 455)",6.774285839566745,1.6482043332583416,0.2433030392121384
170,"(454, 455)",6.774285839566745,3.3720084397392305,0.4977658929070064
209,"(454, 455)",6.774285839566745,0.0,0.0
281,"(454, 455)",6.774285839566745,3.040976792480314,0.4488999821529235
301,"(454, 455)",6.774285839566745,0.0,0.0
375,"(454, 455)",6.774285839566745,1.8547416934736993,0.2737914722524199
419,"(454, 455)",6.774285839566745,0.09271068398056556,0.01368567642054132
423,"(454, 455)",6.774285839566745,0.0,0.0
4,"(180, 181)",15.64473792150133,3.506897301163318,0.22415826450781368
5,"(348, 349)",30.59462394232116,13.227184294882058,0.43233688114025354
101,"(348, 349)",30.59462394232116,10.921456403459887,0.35697305592151346
276,"(348, 349)",30.59462394232116,3.6414991504458163,0.11902415134472616
6,"(15, 1141)",11.606143101233258,1.8144272317325822,0.15633335001183837
50,"(15, 1141)",11.606143101233258,4.8014665065663955,0.41370043990377786
310,"(15, 1141)",11.606143101233258,0.5941753405352665,0.0511949004378664
7,"(349, 350)",11.79735643207444,0.0,0.0
180,"(349, 350)",11.79735643207444,0.0,0.0
8,"(766, 767)",5.927496259195471,2.543842250732673,0.4291596551893808
9,"(341, 342)",2.864411559905993,1.3746266452762896,0.4798984421503324
10,"(305, 318)",6.047566424693529,1.2177359114752155,0.20135965873858533
11,"(1155, 1160)",5.60019181128777,0.0,0.0
12,"(271, 576)",52.06988760454027,19.062989982194967,0.366103920311377
107,"(271, 576)",52.06988760454027,2.448223756209733,0.047018034200562754
13,"(830, 831)",9.791877055485864,3.5972320413861465,0.3673689958526195
14,"(1219, 1220)",5.944802128610324,2.1271173294067833,0.35781129184597854
15,"(483, 486)",22.91127168186058,3.249978178869799,0.14185062374529334
16,"(350, 1252)",11.272647164910618,0.16495575569870072,0.014633275865510395
47,"(350, 1252)",11.272647164910618,0.0,0.0
141,"(350, 1252)",11.272647164910618,0.0,0.0
220,"(350, 1252)",11.272647164910618,1.6219757975814257,0.14388597228788422
271,"(350, 1252)",11.272647164910618,0.0,0.0
17,"(33, 34)",33.342239357322896,4.549627726358788,0.13645237434718258
176,"(33, 34)",33.342239357322896,3.6400299358949306,0.10917172949559183
18,"(770, 771)",7.111519040726978,1.605322204253208,0.22573548563389678
19,"(1085, 1086)",13.736326550604572,5.588945291028674,0.4068733566022198
20,"(453, 454)",20.271336837630898,0.0,0.0
249,"(453, 454)",20.271336837630898,1.2656920752109573,0.06243752374837841
21,"(1142, 1143)",10.135524869711304,0.0,0.0
219,"(1142, 1143)",10.135524869711304,0.0,0.0
237,"(1142, 1143)",10.135524869711304,0.0,0.0
332,"(1142, 1143)",10.135524869711304,0.0,0.0
359,"(1142, 1143)",10.135524869711304,0.0,0.0
403,"(1142, 1143)",10.135524869711304,0.0,0.0
22,"(36, 351)",9.221204147214612,0.0,0.0
227,"(36, 351)",9.221204147214612,1.690275940572507,0.18330316882563297
233,"(36, 351)",9.221204147214612,2.9379694759075834,0.31861017596004926
23,"(254, 440)",20.492826168751158,9.556922866174038,0.46635455683253085
24,"(20, 500)",20.041514548663894,2.0302584777509383,0.10130264720369096
25,"(165, 166)",21.6112258079248,5.869216893816288,0.2715818596307506
154,"(165, 166)",21.6112258079248,1.8145259853311393,0.08396219638155628
26,"(64, 1012)",8.213973567483173,0.6688217977177291,0.08142487825446722
27,"(979, 980)",12.655511113187561,2.230871195554517,0.1762766573078078
422,"(979, 980)",12.655511113187561,0.17522683273945536,0.013845891420130936
28,"(1180, 1181)",24.656241638157272,12.028660196945932,0.4878545714092424
255,"(1180, 1181)",24.656241638157272,3.3945632756334962,0.13767561680528675
29,"(83, 84)",18.11625362015588,7.879352378148727,0.43493277050296286
30,"(547, 548)",10.594440019553959,5.060645748625774,0.4776699607799407
31,"(878, 879)",2.9570420774572916,0.0,0.0
78,"(878, 879)",2.9570420774572916,0.0,0.0
205,"(878, 879)",2.9570420774572916,0.0,0.0
235,"(878, 879)",2.9570420774572916,0.0,0.0
280,"(878, 879)",2.9570420774572916,0.0,0.0
282,"(878, 879)",2.9570420774572916,0.0,0.0
297,"(878, 879)",2.9570420774572916,0.0,0.0
449,"(878, 879)",2.9570420774572916,0.0,0.0
32,"(943, 944)",12.45446512037834,0.0,0.0
82,"(943, 944)",12.45446512037834,0.0,0.0
252,"(943, 944)",12.45446512037834,0.0,0.0
262,"(943, 944)",12.45446512037834,0.0,0.0
321,"(943, 944)",12.45446512037834,0.0,0.0
391,"(943, 944)",12.45446512037834,0.0,0.0
33,"(336, 337)",27.093960524574882,1.5615353537599554,0.05763407503098725
158,"(336, 337)",27.093960524574882,2.4164152239119576,0.08918648942889727
34,"(88, 89)",6.774699009189299,2.2799173700746542,0.33653412011103984
35,"(973, 974)",14.419350162675858,7.023034062744822,0.48705621151525796
138,"(973, 974)",14.419350162675858,0.03682080626661645,0.0025535690479260445
36,"(62, 65)",11.204329551354336,4.323347159333818,0.38586397691339136
52,"(62, 65)",11.204329551354336,1.3336559793531044,0.11903041348796255
59,"(62, 65)",11.204329551354336,3.3267834326542443,0.296919455769856
396,"(62, 65)",11.204329551354336,5.237081309833023,0.46741585793502344
433,"(62, 65)",11.204329551354336,5.237081309833023,0.46741585793502344
37,"(868, 869)",8.502969939089986,3.42134479891395,0.402370562688372
116,"(868, 869)",8.502969939089986,0.07135975129297696,0.008392332538413524
38,"(1060, 1061)",10.497613164391852,0.40817758202011134,0.03888289419967
39,"(57, 58)",16.80205169567665,4.361725446702503,0.2595948117350944
40,"(1177, 1178)",21.18517541673713,2.686710363658312,0.12682030291501406
41,"(340, 517)",47.756253717758945,5.5337119861958985,0.1158740804691323
42,"(518, 519)",8.462695001065908,4.089350484476218,0.48322082787588927
258,"(518, 519)",8.462695001065908,2.737495265221165,0.32347795411229724
289,"(518, 519)",8.462695001065908,0.9290348542623921,0.10978002328399837
43,"(1096, 1097)",22.669254651816953,8.337356097782527,0.36778254185407383
245,"(1096, 1097)",22.669254651816953,10.10436821615294,0.44573005911965746
44,"(1058, 1059)",23.61843519842507,10.544065153530347,0.4464336889784065
86,"(1058, 1059)",23.61843519842507,3.696706974395783,0.1565178617185565
357,"(1058, 1059)",23.61843519842507,0.010398220501844095,0.000440258654499578
45,"(160, 161)",6.695530266475456,3.120324613474164,0.4660309922124676
46,"(558, 559)",5.0609359157968035,1.053340914857612,0.20813164449875712
48,"(780, 1211)",14.391312033542897,3.776073763383189,0.26238565007707526
49,"(1210, 1211)",6.137951746277461,0.04601514376796262,0.007496823968332731
51,"(926, 927)",11.6812125807464,0.30917218722212847,0.02646747373913241
53,"(271, 574)",69.17564479428255,5.729980308093781,0.08283233680197472
54,"(24, 37)",7.748339614901811,0.39798029957787895,0.05136330095966273
55,"(344, 345)",19.11913653149379,3.991091585464152,0.20874852684324263
229,"(344, 345)",19.11913653149379,4.762942697495552,0.2491191320094318
56,"(872, 873)",5.126381548699016,2.002145688165584,0.39055729058514826
