distance,observed_K,lower_envelope,upper_envelope
0.0,0.0,0.0,0.0
326.118951190526,2537.258734858948,580.6149111069983,2098.9548836652625
652.237902381052,6231.660956878202,1715.5500555842032,6192.929607238873
978.356853571578,9809.869129979472,2808.378182334248,9713.129589251881
1304.475804762104,13094.571846180874,3568.1255855231407,11900.829010278816
1630.5947559526298,15463.935510355577,4054.621540339156,12966.829459067678
1956.713707143156,16947.808135069667,4303.088478277692,13389.765137124657
2282.832658333682,17600.022742986985,4427.810530785989,13518.351441259812
2608.951609524208,18039.037261146528,4514.511900620816,13579.64646706517
2935.070560714734,18108.327290317804,4527.21507263555,13581.645217906651
