node_id,username,risk_score,degree,strength,min_distance_to_suspected
847,Infovarius,1.0,241,447,1.0
1230,Multichill,0.874492234256957,193,362,1.0
1344,Pasleim,0.8742771687591767,193,330,1.0
1767,VIGNERON,0.8688885133524952,219,402,1.0
1383,Pigsonthewing,0.8115207783119507,185,333,1.0
326,ArthurPSmith,0.800901571396372,164,298,1.0
460,ChristianKl,0.6749281516176057,130,203,1.0
260,Andrew Gray,0.6435701316603809,127,195,1.0
1853,Yair rand,0.6381717711988326,135,247,1.0
743,Ghouston,0.6332261877438407,131,190,1.0
1205,MisterSynergy,0.622362130556049,118,183,1.0
683,Fnielsen,0.6121088088369068,125,200,1.0
856,Ivan A. Krestinin,0.591095868650782,161,265,1.0
1722,TomT0m,0.570139631891992,127,209,1.0
997,Kolja21,0.5494506543652795,168,401,1.0
639,Epìdosis,0.5437746369015888,131,264,1.0
1892,billinghurst,0.5122129523892675,100,166,1.0
1885,Zolo,0.49712613205278583,163,390,1.0
503,Danrok,0.49160088331117346,135,243,1.0
850,Innocent bystander,0.49120252384194296,87,157,1.0
