xmin,ymin,xmax,ymax,accident_count,rank
430700,433300,431700,434300,233,199
428800,433100,429800,434100,231,200
430200,433700,431200,434700,230,201
430400,432700,431400,433700,230,202
428500,433000,429500,434000,230,203
430700,433200,431700,434200,229,204
428900,432900,429900,433900,227,205
430400,433600,431400,434600,226,206
430000,433900,431000,434900,225,207
429400,432600,430400,433600,225,208
429000,433500,430000,434500,225,209
429500,432500,430500,433500,225,210
430500,432900,431500,433900,224,211
430600,433000,431600,434000,222,212
429800,433800,430800,434800,222,213
430400,433500,431400,434500,222,214
430300,432500,431300,433500,221,215
429700,433800,430700,434800,220,216
430900,434600,431900,435600,220,217
430600,434500,431600,435500,219,218
430300,433700,431300,434700,219,219
431000,434200,432000,435200,219,220
430500,434100,431500,435100,219,221
429200,432800,430200,433800,219,222
430600,434300,431600,435300,218,223
430500,432800,431500,433800,216,224
430700,433100,431700,434100,215,225
428700,433000,429700,434000,215,226
430400,433700,431400,434700,215,227
430600,433800,431600,434800,215,228
429800,433900,430800,434900,215,229
430600,433600,431600,434600,214,230
431000,434500,432000,435500,214,231
428700,433100,429700,434100,214,232
428500,433100,429500,434100,214,233
428700,433200,429700,434200,213,234
430600,433500,431600,434500,212,235
428600,433000,429600,434000,211,236
430600,433700,431600,434700,211,237
430600,433900,431600,434900,210,238
428500,432900,429500,433900,210,239
429700,433900,430700,434900,210,240
430100,433800,431100,434800,210,241
428600,433100,429600,434100,209,242
430500,434200,431500,435200,209,243
429400,432500,430400,433500,209,244
430600,434400,431600,435400,209,245
428700,433300,429700,434300,209,246
429900,434000,430900,435000,209,247
430600,434600,431600,435600,209,248
431000,434300,432000,435300,209,249
428500,433200,429500,434200,208,250
430500,434500,431500,435500,208,251
429100,432800,430100,433800,208,252
428800,432900,429800,433900,206,253
430800,434900,431800,435900,206,254
429000,433600,430000,434600,205,255
429000,432800,430000,433800,205,256
430900,434200,431900,435200,205,257
430600,432900,431600,433900,205,258
428600,433200,429600,434200,205,259
430500,432700,431500,433700,205,260
428500,433300,429500,434300,205,261
430200,433800,431200,434800,203,262
431000,434400,432000,435400,203,263
429900,432400,430900,433400,203,264
430600,434000,431600,435000,202,265
428900,433500,429900,434500,202,266
430700,434200,431700,435200,201,267
430100,433900,431100,434900,201,268
430400,433800,431400,434800,201,269
430300,433800,431300,434800,200,270
428700,433400,429700,434400,200,271
430500,433600,431500,434600,199,272
430900,434500,431900,435500,199,273
428400,433000,429400,434000,199,274
429400,433800,430400,434800,198,275
430700,433000,431700,434000,198,276
430800,434800,431800,435800,197,277
430500,433800,431500,434800,197,278
