xmin,ymin,xmax,ymax,accident_count,rank
429200,432300,430200,433300,87,869
429500,434900,430500,435900,87,870
428600,433900,429600,434900,86,871
430100,432100,431100,433100,86,872
429000,432100,430000,433100,86,873
429100,432000,430100,433000,86,874
428000,432000,429000,433000,86,875
429400,434900,430400,435900,85,876
428800,434000,429800,435000,85,877
429300,432200,430300,433200,85,878
430100,432200,431100,433200,85,879
428100,432000,429100,433000,85,880
430600,432300,431600,433300,85,881
428400,432000,429400,433000,85,882
430900,432800,431900,433800,85,883
428600,434000,429600,435000,84,884
429000,432400,430000,433400,84,885
430700,432400,431700,433400,84,886
430100,432000,431100,433000,83,887
430900,432700,431900,433700,83,888
428500,433900,429500,434900,82,889
428700,434000,429700,435000,82,890
429100,432300,430100,433300,82,891
429000,432000,430000,433000,81,892
428500,434000,429500,435000,81,893
431000,433000,432000,434000,81,894
429200,432200,430200,433200,80,895
428400,433900,429400,434900,80,896
428500,432000,429500,433000,79,897
428600,432400,429600,433400,77,898
429100,432200,430100,433200,77,899
430200,432200,431200,433200,76,900
428900,432100,429900,433100,75,901
430300,432200,431300,433200,75,902
430500,432200,431500,433200,74,903
428700,432400,429700,433400,74,904
430600,432200,431600,433200,74,905
428900,432000,429900,433000,74,906
428600,432300,429600,433300,74,907
430900,432600,431900,433600,74,908
429000,432200,430000,433200,73,909
429000,432300,430000,433300,73,910
428700,432300,429700,433300,73,911
428700,432100,429700,433100,73,912
430400,432200,431400,433200,72,913
430200,432100,431200,433100,72,914
428700,432000,429700,433000,71,915
430300,432100,431300,433100,70,916
428600,432100,429600,433100,69,917
428600,432200,429600,433200,69,918
430200,432000,431200,433000,69,919
428700,432200,429700,433200,69,920
430700,432300,431700,433300,68,921
428800,432100,429800,433100,68,922
428800,432000,429800,433000,67,923
431000,432900,432000,433900,67,924
430600,432100,431600,433100,66,925
430500,432100,431500,433100,66,926
430900,432500,431900,433500,66,927
430300,432000,431300,433000,66,928
428600,432000,429600,433000,66,929
430600,432000,431600,433000,65,930
430500,432000,431500,433000,65,931
431000,432800,432000,433800,65,932
430400,432100,431400,433100,64,933
431000,432700,432000,433700,64,934
430400,432000,431400,433000,62,935
430800,432400,431800,433400,62,936
430700,432200,431700,433200,58,937
428900,432200,429900,433200,58,938
431000,432600,432000,433600,57,939
428800,432200,429800,433200,54,940
428800,432400,429800,433400,53,941
430800,432300,431800,433300,52,942
430900,432200,431900,433200,51,943
428900,432300,429900,433300,51,944
430900,432400,431900,433400,51,945
430700,432100,431700,433100,50,946
430700,432000,431700,433000,50,947
428800,432300,429800,433300,50,948
430800,432200,431800,433200,49,949
430900,432300,431900,433300,49,950
428900,432400,429900,433400,48,951
430900,432000,431900,433000,45,952
431000,432500,432000,433500,44,953
431000,432300,432000,433300,44,954
431000,432200,432000,433200,43,955
430800,432000,431800,433000,43,956
430900,432100,431900,433100,42,957
431000,432000,432000,433000,41,958
430800,432100,431800,433100,40,959
431000,432100,432000,433100,38,960
431000,432400,432000,433400,38,961
